n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
39000,7,30,317827.56666666665,187917.6,0.10280102094014486
40000,7,15,326845.43333333335,193183.33333333334,0.10557789007822672
40000,7,20,326442.23333333334,192928.63333333333,0.10100698471069336
40000,7,30,325066.9,192212.1,0.08915360768636067
41000,7,15,334727.76666666666,197946.23333333334,0.11049296855926513
41000,7,20,334039.3333333333,197508.23333333334,0.10863159497578939
41000,7,30,332072.9666666667,196319.2,0.10785662333170573
42000,7,15,342518.26666666666,202602.1,0.11045031547546387
42000,7,20,341243.7,201714.93333333332,0.10166496435801188
42000,7,30,342082.8333333333,202135.3,0.08759490648905437
43000,7,15,350348.93333333335,207145.66666666666,0.11549488703409831
43000,7,20,349899.2,206964.9,0.11187729040781656
43000,7,30,350834.63333333336,207355.8,0.11304976145426432
44000,7,15,358777.1,212112.13333333333,0.11515769163767496
44000,7,20,359487.26666666666,212495.8,0.10420989195505778
44000,7,30,358555.6,211849.8,0.08904550870259603
45000,7,15,367898.0333333333,217431.66666666666,0.11981604894002279
45000,7,20,366909.1666666667,216972.06666666668,0.11984520753224691
45000,7,30,367801.93333333335,217483.1,0.12260091304779053
46000,7,15,374662.23333333334,221454.23333333334,0.11577749252319336
46000,7,20,376616.3,222509.33333333334,0.10019555886586508
46000,7,30,375022.3333333333,221625.53333333333,0.0870728333791097
47000,7,15,383253.06666666665,226597.4,0.12438077926635742
47000,7,20,384128.9666666667,227081.56666666668,0.12594557603200277
47000,7,30,383900.9666666667,226895.53333333333,0.1227416197458903
48000,7,15,391301.5,231399.5,0.11502648989359537
48000,7,20,391042.8333333333,231163.03333333333,0.09959126313527425
48000,7,30,392706.5,232095.7,0.08868428071339925
49000,7,15,400967.6,237025.6,0.12832476298014323
49000,7,20,397403.4,234913.26666666666,0.12783377170562743
49000,7,30,400262.13333333336,236583.93333333332,0.13039565881093343
50000,7,15,406749.3333333333,240511.76666666666,0.11765944163004557
50000,7,20,408554.23333333334,241579.33333333334,0.1010586420694987
50000,7,30,409359.5333333333,242060.53333333333,0.08935666879018148
1000,9,15,7730.8,4788.066666666667,0.0025456428527832033
1000,9,20,7765.933333333333,4810.1,0.002532291412353516
1000,9,30,7752.6,4808.166666666667,0.002282150586446126
2000,9,15,15746.133333333333,9693.966666666667,0.004452927907307943
2000,9,20,15921.166666666666,9787.6,0.0043171087900797525
2000,9,30,15805.9,9730.3,0.004762029647827149
3000,9,15,23888.233333333334,14674.766666666666,0.007370479901631673
3000,9,20,24037.566666666666,14775.933333333332,0.00768429438273112
3000,9,30,23947.6,14731.5,0.0067662398020426435
